"--Please Select--","--M&#7901;i b&#7841;n ch&#7885;n--"
"<label>Make Check payable to:</label> %s","<label>&#272;&#417;n v&#7883; th&#7909; h&#432;&#7903;ng:</label> %s"
"<label>Make Check payable to</label>: %s","<label>&#272;&#417;n v&#7883; th&#7909; h&#432;&#7903;ng</label>: %s"
"Can not configuration for payment method with code: %s","Can not configuration for payment method with code: %s"
"Can not retrieve payment info model object.","Can not retrieve payment info model object."
"Can not retrieve payment method instance","Can not retrieve payment method instance"
"Can not retrieve payment method model object.","Can not retrieve payment method model object."
"Card Verification Number","Card Verification Number"
"Check / Money order","Ti&#7873;n m&#7863;t / Chuy&#7875;n kho&#7843;n"
"Credit Card Number","Credit Card Number"
"Credit Card Number: %s","Credit Card Number: %s"
"Credit Card Number: xxxx-%s","Credit Card Number: xxxx-%s"
"Credit Card Type","Credit Card Type"
"Credit Card Type: %s","Credit Card Type: %s"
"Credit Card Types","Credit Card Types"
"Credit Card Verification","Credit Card Verification"
"Enabled","Enabled"
"Expiration Date","Expiration Date"
"Expiration Date: %s/%s","Expiration Date: %s/%s"
"Make Check payable to","Make Check payable to"
"Make Check payable to: %s","Make Check payable to: %s"
"Month","Month"
"Name on Card","Name on Card"
"Name on the Card: %s","Name on the Card: %s"
"New order status","New order status"
"Payment Methods","Ph&#432;&#417;ng th&#7913;c thanh to&aacute;n"
"Payment from Specific countries","Payment from Specific countries"
"Payment from applicable countries","Payment from applicable countries"
"Purchase Order Number","Purchase Order Number"
"Purchase Order Number: %s","Purchase Order Number: %s"
"Purchase order","Purchase order"
"Saved CC","Saved CC"
"Send Check to","Th&ocirc;ng tin thanh to&aacute;n"
"Send Check to:","Th&ocirc;ng tin thanh to&aacute;n:"
"Sort order","Sort order"
"Title","Title"
"What is this?","Xem n&oacute; l&agrave; g&igrave;?"
"Year","Year"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
