"Add Recipient","&#272;&#7883;a ch&#7881; ng&#432;&#7901;i nh&#7853;n"
"Allow for Guests","Cho ph&eacute;p kh&aacute;ch"
"Email Address","&#272;&#7883;a ch&#7881; email"
"Email Address:","&#272;&#7883;a ch&#7881; email:"
"Email templates","M&#7851;u Email"
"Email to a Friend","G&#7903;i t&#7863;ng b&#7841;n b&egrave;"
"Email:","&#272;&#7883;a ch&#7881; Email:"
"Enabled","Enabled"
"Limit Sending By","Gi&#7899;i h&#7841;n b&#7857;ng"
"Link to a friend was sent.","Li&ecirc;n k&#7871;t &#273;&atilde; &#273;&#432;&#7907;c g&#7903;i t&#7899;i m&#7897;t ng&#432;&#7901;i b&#7841;n."
"Max Products Sent in 1 Hour","S&#7889; l&#7847;n g&#7903;i trong 1 gi&#7901;"
"Max Recipients","S&#7889; ng&#432;&#7901;i nh&#7853;n t&#7889;i &#273;a"
"Maximum %d email addresses allowed.","S&#7889; l&#432;&#7907;ng email cho ph&eacute;p %d."
"Message:","L&#7901;i nh&#7855;n:"
"Name","H&#7885; v&agrave; T&ecirc;n"
"Name:","H&#7885; v&agrave; T&ecirc;n:"
"Recipient:","Ng&#432;&#7901;i nh&#7853;n:"
"Remove Email","G&#7905; b&#7887; Email"
"Select email template","Ch&#7885;n m&#7851;u email"
"Send email","G&#7917;i email"
"Send product to a friend","G&#7917;i s&#7843;n ph&#7849;m cho b&#7841;n b&egrave;"
"Sender:","Ng&#432;&#7901;i g&#7917;i:"
"Some emails was not sent","M&#7897;t s&#7889; email kh&ocirc;ng &#273;&#432;&#7907;c g&#7917;i"
"Some problems with data.","C&oacute; m&#7897;t s&#7889; v&#7845;n &#273;&#7873; v&#7899;i d&#7919; li&#7879;u."
"You cannot email this product to a friend","B&#7841;n kh&ocirc;ng th&#7875; g&#7917;i email s&#7843;n ph&#7849;m n&agrave;y cho b&#7841;n b&egrave;"
"You cannot send more than %d times in an hour","B&#7841;n kh&ocirc;ng th&#7875; g&#7903;i nhi&#7873;u h&#417;n %d l&#7847;n trong m&#7897;t gi&#7901;"
