"To Fixed Value","Đến giá cố định"
"Customer registered: %s","Khách hàng đã đăng ký:%s"
"Rule price","Gía quy tắc"
"Customer is new buyer: %s","Khách là người mua mới:%s"
"By Fixed value","Theo giá cố định"
"Update the Product","Cập nhật Sản phẩm"
"To Percentage","Đến phần trăm"
"Attribute Set","Bộ thuộc tính"
"Start at: %s","Bắt đầu từ:%s"
"By Percentage","Theo phần trăm"
"Expire at: %s","Hết hạn vào:%s"
"Name: %s","Tên:%s"
"Update product's %s %s: %s","Cập nhật %s %s của Sản phẩm: %s"
"Product Attribute","Thuộc tính Sản phẩm"
"Conditions Combination","Tổ hợp điều kiện"
"Description: %s","Mô tả: %s"
