"Time Zone","Múi giờ"
"Default Currency","Loại tiền mặc định"
"One from PHP Extensions ""%s"" must be loaded","Cần nạp một trong số PHP Extensions ""%s"""
"Database connection error","Lỗi liên kết cơ sở dữ liệu"
"PHP Extension ""%s"" must be loaded","Cần nạp PHP Extensions ""%s"""
"Url ""%s"" is invalid","URL ""%s"" không hợp lệ"
"Locale","Địa điểm"
"Url ""%s"" is not accessible","URL ""%s"" không truy cập được"
"This Url is invalid","URL không hợp lệ"
"Path ""%s"" must be writable","Phải được phép ghi vào ""%s"""
"PHP Extension '%s' loaded","PHP Extensions '%s' đã nạp"
"Database Name","Tên CSDL"
"Installation Guide","Hướng dẫn cài đặt"
"Confirm Password","Xác nhận mật mã"
"Secure host name","Tên máy chủ an toàn"
"Password Confirmation","Xác nhận mật mã"
"Go to Frontend","Đến Mặt tiền"
"Secure Protocol","Giao thức an toàn"
"For HTTPS connections, default port is 443.","Cổng mặc định cho kết nối HTTPS là 443."
"I agree to the above terms and conditions","Đồng ý với các điều kiện và yêu cầu trên"
"First Name","Tên "
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Trước khi tiếp tục mua sắm tại cửa hàng, hãy ghi lại khóa mã hoá của bạn (được dùng để mã hóa mật mã, thẻ tín dụng…)"
"Database Connection","Kết nối cơ sở dữ liệu"
"Secure Connection","Kết nối an toàn"
"Create Admin Account","Tạo tài khoản quản trị"
"Email","Email"
"Host name","Tên máy chủ"
"Go to Backend","Đến Hậu cứ"
"Base Path","Đường dẫn cơ sở"
"Login Information","Thông tin đăng nhập"
"Password","Mật mã"
"Localization","Bản địa hóa"
"Secure www base path","Đường dẫn an toàn www"
"User Name","Tên người dùng"
"Skip URL validation","Bỏ bước kiểm tra URL"
"User Password","Mật mã người dùng"
"Host","Máy chủ "
"Welcome to Magento's Installation Wizard","Chương trình cài đặt Magento xin chào"
"WWW base path","Đường dẫn cơ sở WWW"
"For HTTP connections, the default port is 80.","Cổng mặc định cho kết nối HTTP là 80."
"Secure Port","Cổng an toàn"
"Required Fields","Các trường bắt buộc"
"Configuration","Cấu hình"
"You're All Set","Bạn đã xong"
"Having trouble installing Magento?","Gặp trục trặc khi cài đặt Magento?"
"Username","Tên người dùng"
"Installation","Cài đặt"
"Email Address","Địa chỉ Email"
"(Make sure you keep it in a safe place.)","(Đảm bảo giữ nó ở một nơi an toàn)"
"Connection","Kết nối"
"Continue","Tiếp tục"
"Locale settings","Cài đặt bản địa"
"Secure Base Path","Đường dẫn an toàn cơ sở"
"Configuration options","Lựa chọn cấu hình"
"Database user name","Tên người dùng CSDL"
"Check out our","Thanh toán của chúng tôi"
"Protocol","Giao thức"
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encription key for you and will display it on the next page.","Khóa này được dùng để mã hóa mật mã, thẻ tín dụng, và những thứ khác. Nếu trường này bị bỏ trống thì hệ thống sẽ tạo một khóa mã hóa khác cho bạn và hiển thị nó ở trang tiếp theo."
"Database host","Máy chủ Cơ sở dữ liệu"
"Last Name","Họ"
"Secure Host","Máy chủ an toàn"
"Default store","Cửa hàng mặc định"
"Get ready to experience Open-Source eCommerce Evolved.","Hãy thử nghiệm phát triển thương mại điện tử mã nguồn mở."
"Please set all required settings before clicking Continue","Hãy khai báo hết các mục yêu cầu trước khi bấm Tiếp tục"
"Check this box only if you are unable to automatically validate Magento URL, for example if HTTP authentication is required.","Chỉ đánh dấu hộp chọn này nếu bạn không thể tự động kiểm nghiệm đường dẫn Magento, ví dụ nếu có yêu cầu xác thực HTTP."
"Database user password","Mật mã người dùng CSDL"
"Encryption Key","Chìa khóa mã hoá"
"Port","Cổng"
"Personal Information","Thông tin cá nhân"
