"equals or greater than","lớn hơn hoặc bằng"
"is not","không là"
"is not one of","không là một trong"
"is","là"
"If %s of these conditions are %s:","Nếu %s trong những điều kiện này là %s:"
"TRUE","ĐÚNG"
"Description: %s","Mô tả: %s"
"contains","bao gồm"
"to","đến"
"equals or less than","nhỏ hơn hoặc bằng"
"greater than","lớn hơn"
"does not contain","không chứa"
"Please choose an action to add...","Hãy chọn một thao tác để thêm…"
"Perform following actions","Thực hiện các thao tác sau"
"by","bởi"
"is one of","là một trong"
"ALL","TẤT CẢ"
"FALSE","SAI"
"less than","ít hơn"
"ANY","MỘT TRONG SỐ"
"Expire at: %s","Hết hạn vào: %s"
"Name: %s","Tên: %s"
"Please choose a condition to add...","Hãy chọn một điều kiện để thêm…"
"Start at: %s","Bắt đầu lúc: %s"
